initial_run_id,case_id,domain,condition,model_slot,repetition,update_id,update_type,prompt_file,prompt_hash,status
RUN_0053,PX_1005,robustness,C1,model_1,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0001_PX_1005_C1_model_1_1_PX_1005_MD.txt,01659fae1ab9b1bd1e57e850aa8e1bd7fdceca7a372769f13191e1e21c268730,completed
RUN_0053,PX_1005,robustness,C1,model_1,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0002_PX_1005_C1_model_1_1_PX_1005_NC.txt,99e42fc9494f66576a6d3af6ae64ee14929985c532ceab41e1bc9402e4251e27,completed
RUN_0052,PX_1005,robustness,C0,model_2,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0003_PX_1005_C0_model_2_2_PX_1005_MD.txt,0e3e7917568801bc405871615066e35bb09ebacfa56374ad0b39fafae8d9e246,completed
RUN_0052,PX_1005,robustness,C0,model_2,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0004_PX_1005_C0_model_2_2_PX_1005_NC.txt,e5f1f517220adcf1cc6d24e7e475bf1fcd03a760b18c09ebf137cf011d8fa73d,completed
RUN_0072,PX_1006,accountability,C2,model_2,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0005_PX_1006_C2_model_2_2_PX_1006_MD.txt,9f0a31a4018865946d914ce867758fe4f337e778c1a406c88272d8ce54c07286,completed
RUN_0072,PX_1006,accountability,C2,model_2,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0006_PX_1006_C2_model_2_2_PX_1006_NC.txt,e4d1426b3545889d4f91bd42d68fce28843f9f06773a167c63a1b6ff0826ad20,completed
RUN_0056,PX_1005,robustness,C1,model_2,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0007_PX_1005_C1_model_2_2_PX_1005_MD.txt,afe2081cd9b14e8ac5060e12e5805d5653d45bc748eeffb426b2a9bd7801e136,completed
RUN_0056,PX_1005,robustness,C1,model_2,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0008_PX_1005_C1_model_2_2_PX_1005_NC.txt,d9454e389909eb925905029c852b3e124650ea8a3699c5e6dc31ef80cdf91afc,completed
RUN_0067,PX_1006,accountability,C1,model_2,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0009_PX_1006_C1_model_2_1_PX_1006_MD.txt,1f2acf0d599a560ab79b5b9031623c3dfeb38bea170964411df38b65cd2af9aa,completed
RUN_0067,PX_1006,accountability,C1,model_2,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0010_PX_1006_C1_model_2_1_PX_1006_NC.txt,66a4a082b8111d5b1ee05f3c5774511a2a3ab50a5d3ac06c26b8c7bc9c34174c,completed
RUN_0070,PX_1006,accountability,C2,model_1,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0011_PX_1006_C2_model_1_2_PX_1006_MD.txt,3ed64ce083b49ea7360e706333463258fd0fca86e027382fe0344ce2ddccda77,completed
RUN_0070,PX_1006,accountability,C2,model_1,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0012_PX_1006_C2_model_1_2_PX_1006_NC.txt,988e350d667284a1216fc9ca63a6ac53e88c13403996c2708bc762fbd7856f97,completed
RUN_0068,PX_1006,accountability,C1,model_2,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0013_PX_1006_C1_model_2_2_PX_1006_MD.txt,cc4ffa91b95ce92685a469693ba21420ad0e67aaca7d65823d70de91d8bd2e8d,completed
RUN_0068,PX_1006,accountability,C1,model_2,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0014_PX_1006_C1_model_2_2_PX_1006_NC.txt,ab4d1e6244515219121ef8cc7e817dae1275c160aec865681369734cf682a9ca,completed
RUN_0063,PX_1006,accountability,C0,model_2,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0015_PX_1006_C0_model_2_1_PX_1006_MD.txt,453103c749b5715395321ae0e07df3eec3c2bd44a3b533edc6dd1832cde425d3,completed
RUN_0063,PX_1006,accountability,C0,model_2,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0016_PX_1006_C0_model_2_1_PX_1006_NC.txt,d6b66348af40592dcd63c6d2b97d1e5f1a679d7e388e073b3af7d8ee883e8532,completed
RUN_0062,PX_1006,accountability,C0,model_1,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0017_PX_1006_C0_model_1_2_PX_1006_MD.txt,549499fa165bc1147ae1d714cd99f8672d96edf53b744f7ff30941bc84e3c57c,completed
RUN_0062,PX_1006,accountability,C0,model_1,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0018_PX_1006_C0_model_1_2_PX_1006_NC.txt,5adafec9bf6999642715ad5937d6e71670d7fe5ac64fd5608fdea052250e3194,completed
RUN_0058,PX_1005,robustness,C2,model_1,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0019_PX_1005_C2_model_1_2_PX_1005_MD.txt,05d29ed6376eb39970b14d66856a8e62ca267d3cd0dc931523e712ed8f357bb9,completed
RUN_0058,PX_1005,robustness,C2,model_1,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0020_PX_1005_C2_model_1_2_PX_1005_NC.txt,e988c16e65a8007af73961aa2fceff2758b80a470f472d4361fb27c54cd077c2,completed
RUN_0055,PX_1005,robustness,C1,model_2,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0021_PX_1005_C1_model_2_1_PX_1005_MD.txt,382a7db4bb8e9bbb8e05f3653916d55c45776cb8155775de8da388fb1f0e5a34,completed
RUN_0055,PX_1005,robustness,C1,model_2,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0022_PX_1005_C1_model_2_1_PX_1005_NC.txt,47dd695dee28ff7a2c3c337c18b6ab2149589d6e42acc45c52864bc4c97a1bc6,completed
RUN_0050,PX_1005,robustness,C0,model_1,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0023_PX_1005_C0_model_1_2_PX_1005_MD.txt,3d55f95df6c8e4ddb8f146ed77e44727a13007c8cfd1f587625ff0adfc4c4a84,completed
RUN_0050,PX_1005,robustness,C0,model_1,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0024_PX_1005_C0_model_1_2_PX_1005_NC.txt,d6a585967ac397f6cf66cf81b4b784e1c8a5b7f2ecaccf694b717dadff6c2979,completed
RUN_0057,PX_1005,robustness,C2,model_1,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0025_PX_1005_C2_model_1_1_PX_1005_MD.txt,fbb591b2f105c4853d58dd26a0402c90b6e9a1b34a04fd604bacce55aaa31ce3,completed
RUN_0057,PX_1005,robustness,C2,model_1,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0026_PX_1005_C2_model_1_1_PX_1005_NC.txt,d3048f54d3b51f1f7055ed7773018dc6a3b0b8b55fe7f9c0212062add9aed200,completed
RUN_0059,PX_1005,robustness,C2,model_2,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0027_PX_1005_C2_model_2_1_PX_1005_MD.txt,a1f864c63c8954cc16a30949c860e6411eae108c18696d70453f31731bb8b527,completed
RUN_0059,PX_1005,robustness,C2,model_2,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0028_PX_1005_C2_model_2_1_PX_1005_NC.txt,adc01c626fbaeab7d2a78115476fa9759d563b3fc59a62a725480da7530854a0,completed
RUN_0060,PX_1005,robustness,C2,model_2,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0029_PX_1005_C2_model_2_2_PX_1005_MD.txt,1ce74646b826390f30cca730751e5486e507d60b215ae6c5f742fe15f4ce8483,completed
RUN_0060,PX_1005,robustness,C2,model_2,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0030_PX_1005_C2_model_2_2_PX_1005_NC.txt,4b8a1b930c08049aaf81debe70408505313e52236c008cd33a2e196ae37cc78c,completed
RUN_0049,PX_1005,robustness,C0,model_1,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0031_PX_1005_C0_model_1_1_PX_1005_MD.txt,c6c0833471abde7e4a6e8399f7171d09800cb25fb2dc7fe19331edb7d180712f,completed
RUN_0049,PX_1005,robustness,C0,model_1,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0032_PX_1005_C0_model_1_1_PX_1005_NC.txt,3955d38013ddd7e334dc2fb0e046cea00253d1ba99b70a1e2cd969edbe7f5d32,completed
RUN_0064,PX_1006,accountability,C0,model_2,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0033_PX_1006_C0_model_2_2_PX_1006_MD.txt,a34fbdf900fcf3198d1dd8a25bd515069988817e77ccd6daa86e4882cc8cde5f,completed
RUN_0064,PX_1006,accountability,C0,model_2,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0034_PX_1006_C0_model_2_2_PX_1006_NC.txt,58bd5d40089bb96f677106c1edbd54fa426cba18e6cd8ef9dbb9a92ac756c615,completed
RUN_0065,PX_1006,accountability,C1,model_1,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0035_PX_1006_C1_model_1_1_PX_1006_MD.txt,85e29d84a0cd7848a043f8e109e76d9c99c012274453068061c264d562465608,completed
RUN_0065,PX_1006,accountability,C1,model_1,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0036_PX_1006_C1_model_1_1_PX_1006_NC.txt,5782c9be88c5db4f7206cc14e9222d29789d3e12a3d1c822bdf4ef11ca32d4f4,completed
RUN_0051,PX_1005,robustness,C0,model_2,1,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0037_PX_1005_C0_model_2_1_PX_1005_MD.txt,67a26ca413c3275903efe0affb51ff0de64450d20308137922182f532b1622fc,completed
RUN_0051,PX_1005,robustness,C0,model_2,1,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0038_PX_1005_C0_model_2_1_PX_1005_NC.txt,d4d24ff22c394b782a47bf2a05d2d058998764599a079d80dd082e34730334f2,completed
RUN_0066,PX_1006,accountability,C1,model_1,2,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0039_PX_1006_C1_model_1_2_PX_1006_MD.txt,e63f3b4e6645f67c790e214468081ea5776aa2826752f75879fa0f37ed42657c,completed
RUN_0066,PX_1006,accountability,C1,model_1,2,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0040_PX_1006_C1_model_1_2_PX_1006_NC.txt,46c6919fa3b8fba0c072ccc9b9ade40c10f52ddd0404912393a6a4fb242f40ff,completed
RUN_0069,PX_1006,accountability,C2,model_1,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0041_PX_1006_C2_model_1_1_PX_1006_MD.txt,cffe3e701060e5108a82fe642fdc0436e681efb7a20039d74b525a232b776c70,completed
RUN_0069,PX_1006,accountability,C2,model_1,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0042_PX_1006_C2_model_1_1_PX_1006_NC.txt,b8ec40c88b28cafb879b4bdbfad6273b30a796ecd2c30ce233c51f84cb3245d7,completed
RUN_0054,PX_1005,robustness,C1,model_1,2,PX_1005_MD,material_defeater,runs/revision_prompts/REV_0043_PX_1005_C1_model_1_2_PX_1005_MD.txt,3fb132255302e64c6841fa4c58e48d6fbcb9c07a21d7867e68552fe8b5c40182,completed
RUN_0054,PX_1005,robustness,C1,model_1,2,PX_1005_NC,non_material_control,runs/revision_prompts/REV_0044_PX_1005_C1_model_1_2_PX_1005_NC.txt,e2d8e895ff069642ae2765339c0763d0340bf5884eff149a7d02b840d8541f93,completed
RUN_0071,PX_1006,accountability,C2,model_2,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0045_PX_1006_C2_model_2_1_PX_1006_MD.txt,e2f17734f9578d07b2ea8b024c865bf75a45d75a21ee51ea58bee11c94fdadf4,completed
RUN_0071,PX_1006,accountability,C2,model_2,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0046_PX_1006_C2_model_2_1_PX_1006_NC.txt,f4092e4822f3963553900c9c7ea00e0c9a63426a33c0d76df2ce5f014b6edc3a,completed
RUN_0061,PX_1006,accountability,C0,model_1,1,PX_1006_MD,material_defeater,runs/revision_prompts/REV_0047_PX_1006_C0_model_1_1_PX_1006_MD.txt,fbefd82f0897b47df06d4d482602947306c848aa56b694a2c04b4e1769a55d90,completed
RUN_0061,PX_1006,accountability,C0,model_1,1,PX_1006_NC,non_material_control,runs/revision_prompts/REV_0048_PX_1006_C0_model_1_1_PX_1006_NC.txt,716b3d8fcd073acd5e86734ff8c4099358595b6eb8fa29077350627585dfd139,completed
